lon,lat,alt,geometry,file_id,date,distance_m,velocity_mps,velocity_kph,acceleration_mps2
-74.03707963,4.73409237,2579.05,POINT (-74.03707963 4.73409237),P3,2025-07-18,4.319340259414312,3.6720967973141683,13.219548470331006,0.2442841344631328
-74.0370979,4.73405598,2579.13,POINT (-74.0370979 4.73405598),P3,2025-07-18,4.505723994958063,3.8305513476057134,13.789984851380568,0.1347104908850913
-74.0371182,4.73401854,2579.303,POINT (-74.0371182 4.73401854),P3,2025-07-18,4.713088559043098,4.006842796280877,14.424634066611157,0.14987457000243867
-74.03713857,4.73398134,2579.237,POINT (-74.03713857 4.73398134),P3,2025-07-18,4.693526478627072,3.9902120497940894,14.364763379258722,-0.014138666380350402
-74.03715748,4.7339448,2579.452,POINT (-74.03715748 4.7339448),P3,2025-07-18,4.552823042638627,3.870592708498128,13.934133750593261,-0.10169465096257355
-74.03717353,4.73390936,2579.439,POINT (-74.03717353 4.73390936),P3,2025-07-18,4.304572072375741,3.6595415900210466,13.174349724075768,-0.17942558114982843
-74.03717919,4.73387429,2579.383,POINT (-74.03717919 4.73387429),P3,2025-07-18,3.928612892474667,3.339919051040338,12.023708583745217,-0.27172781750230335
-74.0371654,4.73384453,2579.452,POINT (-74.0371654 4.73384453),P3,2025-07-18,3.6291460358169254,3.0853266320157378,11.107175875256656,-0.21644231534736008
-74.03714988,4.73381846,2579.524,POINT (-74.03714988 4.73381846),P3,2025-07-18,3.3579175139030504,2.854741096530453,10.277067947509632,-0.19603280952848576
-74.03711809,4.73380826,2579.667,POINT (-74.03711809 4.73380826),P3,2025-07-18,3.702829529820413,3.147968819501521,11.332687750205476,0.24928820554456374
-74.03708708,4.7337951,2580.701,POINT (-74.03708708 4.7337951),P3,2025-07-18,3.7354489076265973,3.1757002566142605,11.432520923811339,0.023575943382709602
-74.03706934,4.73377355,2580.474,POINT (-74.03706934 4.73377355),P3,2025-07-18,3.0906884448983885,2.6275557048951286,9.459200537622463,-0.46600631854503843
-74.03704849,4.73374668,2580.385,POINT (-74.03704849 4.73374668),P3,2025-07-18,3.7655643262821026,3.20130294724592,11.524690610085312,0.48777250333824357
